yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
201106,276.586,34.7239,0.289217,0.0399328,0.886812,0.875542
201107,276.586,34.7232,0.288496,0.0399474,0.898336,0.881207
201108,276.586,34.723,0.28816,0.0399208,0.897702,0.88554
201109,276.587,34.7233,0.28819,0.0398159,0.903577,0.88641
201110,276.589,34.7229,0.287375,0.0396758,0.908182,0.889626
201111,276.586,34.7224,0.287735,0.0397326,0.89861,0.88385
201112,276.59,34.7226,0.288087,0.0397598,0.892012,0.882677
201201,276.593,34.7227,0.288058,0.0397242,0.896378,0.886049
201202,276.594,34.7226,0.287719,0.0397591,0.899128,0.888912
201203,276.595,34.723,0.287215,0.0396867,0.895961,0.885994
201204,276.595,34.7234,0.287356,0.0395355,0.900583,0.888897
201205,276.593,34.7232,0.287107,0.0394933,0.898938,0.891056
201206,276.589,34.723,0.287484,0.039562,0.890445,0.885745
201207,276.586,34.7226,0.287036,0.039458,0.897376,0.891498
201208,276.583,34.7225,0.286544,0.0393256,0.907774,0.898323
201209,276.585,34.7227,0.286974,0.0392868,0.906628,0.900811
201210,276.588,34.7224,0.286975,0.0392718,0.911046,0.902535
201211,276.589,34.7223,0.286932,0.0392741,0.903493,0.895204
201212,276.592,34.7227,0.286413,0.0393387,0.908677,0.89958
201301,276.6,34.7232,0.286098,0.0392677,0.909911,0.905692
201302,276.601,34.7234,0.286979,0.0394108,0.902411,0.901325
201303,276.601,34.723,0.285784,0.0392486,0.914744,0.907241
201304,276.6,34.7234,0.286573,0.0393226,0.909313,0.904458
201305,276.595,34.723,0.286823,0.0393537,0.907127,0.900858
201306,276.591,34.7228,0.286732,0.039399,0.906965,0.901988
201307,276.589,34.7225,0.286492,0.0393366,0.91223,0.910865
201308,276.587,34.7221,0.286265,0.0392063,0.918481,0.910588
201309,276.592,34.7224,0.286327,0.0392226,0.908586,0.899491
201310,276.593,34.7219,0.286499,0.0393128,0.908442,0.902802
201311,276.593,34.722,0.2868,0.0394156,0.905206,0.898775
