method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0,#yrs
GWI_anthro_CGWL,43/3_Human_Induced,c,3.251,0.097652035,0,0,0.987099257,0.987099257,1.313491177,0.040110426,4.36E-05,85.3769265,85.3769265,3.402135166,4.382164411,0.019113363,0.916666667,1.972222222,1983.791667,2010.791667,75
GWI_anthro_orig,43/3_Human_Induced,c,3.292,0.091690076,0,0,0.823839767,0.823839767,1.090699932,0.080485695,2.10E-05,70.89549561,70.89549561,2.8175138,4.477944811,0.054098225,1.791666667,3.736111111,1982.375,2008.708333,74
GWI_anthro_SR15,43/3_Human_Induced,c,2.938,0.08945779,0,0,0.995154483,0.995154483,1.362860393,0.043182227,1.29E-05,88.58592554,88.58592554,4.04023434,4.582712891,0.008359952,1.083333333,2.152777778,1985.541667,2011.291667,75
GWI_tot,43/3_Human_Induced,c,4.606,0.07843311,0,0,0.96472514,0.96472514,1.314689032,0.061552301,1.96E-05,85.45478705,85.45478705,3.315868199,5.301088335,-0.003896126,2.791666667,2.902777778,1986.541667,2009.875,75
GWI_tot_AR6,43/3_Human_Induced,c,2.189,0.058103316,9,0,0.487343047,0.487343047,1.343502347,0.06182832,4.74E-05,87.32765259,87.32765259,5.265706923,6.189562812,-0.040111255,2.125,2.027777778,1987.041667,2011.875,75
GWI_tot_CGWL,43/3_Human_Induced,c,3.071,0.082741328,0,0,0.995230363,0.995230363,1.483080359,0.026317727,-1.11E-05,96.40022331,96.40022331,3.721209042,4.883902834,0.002318978,1.25,1.569444444,1986.625,2009.291667,75
GWI_tot_orig,43/3_Human_Induced,c,5.117,0.081059498,0,0,0.949800705,0.949800705,1.211748904,0.068310431,9.67E-06,78.76367876,78.76367876,3.56483155,4.695061807,0.034053456,0.791666667,2.826388889,1984.791667,2008.375,74
GWI_tot_SR15,43/3_Human_Induced,c,2.909,0.074122334,0,0,0.901843561,0.901843561,1.336706178,0.059448083,4.81E-05,86.88590157,86.88590157,4.816786356,3.750587848,-0.008302748,2.875,1.75,1986.708333,2006.125,75
KCC_all,43/3_Human_Induced,c,4.531,0.075952369,13,0,0.149663889,0.19,0.693382209,0.097462797,3.22E-05,79.04557181,68.90159343,0.085548464,3.68762329,-0.048235802,3.770833333,2.854166667,1988.041667,2010.875,124
KCC_human,43/3_Human_Induced,c,3.195,0.089503244,0,0,0.631384615,0.631384615,1.053445294,0.072000766,-1.89E-05,120.0927635,104.2834286,4.179017908,3.624477076,0.014517904,0.541666667,1.375,1983.875,2009.708333,124
CGWL_10y_IPCC,44/44_EarthModel_CGWL,c,3.036,0.060751172,0,0,0.975217441,0.975217441,1.629063308,0.04380012,-0.000211494,252.5048127,155.488199,6.552989318,12.74012166,0.003630029,0.875,0.861111111,1983.208333,2009.708333,166
CGWL10y_for_halfU,44/44_EarthModel_CGWL,c,3.698,0.031873004,0,0,0.602739726,0.602739726,2.027732991,0.033298271,-0.019457232,111.5253145,111.5253145,6.935405023,17.21518221,-0.016626109,1.5,1.041666667,1987.625,2010.041667,64
CGWL10y_forec,44/44_EarthModel_CGWL,c,3.698,0.04734737,0,0,0.956269758,0.956269758,1.881214377,0.033298271,-0.019457232,103.4667907,103.4667907,6.354334223,14.17161372,-0.016626109,1.583333333,1.097222222,1987.708333,2010.125,64
CGWL10y_pUKCP,44/44_EarthModel_CGWL,c,1.528,0.091806549,0,0,0.999333333,0.999333333,1.357564182,0.039567313,0.007853895,210.4224482,108.9670537,3.194094052,2.648649449,-0.013439483,1.083333333,0.861111111,1986.875,2009.958333,165
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,6.258,0.049971171,0,0,0.952173913,0.952173913,1.699098234,0.041134636,0.001428528,248.0683421,150.4790451,8.66085666,6.240569076,0.003815532,0.895833333,1.166666667,1985.708333,2009.625,155
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,3.443,0.052202381,0,0,0.957377049,0.957377049,1.687623406,0.042710307,0.000160096,246.3930173,147.5180804,6.399829906,6.079843571,0.00303151,0.541666667,1.402777778,1985.541667,2010.208333,155
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,71,,,,,,,,,,,,,,,,,,,
,,41,41,,,,,,,,,,,,,,,,,,
