variable,Aer,Aer,Aer,Aer,Aer,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,0.198558409,0.199384884,0.201668387,0.202494862,0.200526635,0.198558409,0.199384884,0.201668387,0.202494862,0.200526635,0.404952298,0.405778921,0.408062831,0.408889454,0.406920876,0.198558409,0.199384884,0.201668387,0.202494862,0.200526635,0.198558409,0.199384884,0.201668387,0.202494862,0.200526635,0.13566194,0.162899191,0.23815408,0.265391331,0.200526635
1905,0.219395759,0.2202116,0.222465719,0.22328156,0.221338659,0.219395759,0.2202116,0.222465719,0.22328156,0.221338659,0.405820129,0.406635939,0.408889974,0.409705785,0.407762957,0.219395759,0.2202116,0.222465719,0.22328156,0.221338659,0.219395759,0.2202116,0.222465719,0.22328156,0.221338659,0.15700987,0.184022089,0.258655229,0.285667449,0.221338659
1906,0.245716171,0.246538178,0.248809332,0.249631338,0.247673755,0.245716171,0.246538178,0.248809332,0.249631338,0.247673755,0.420459676,0.421281507,0.423552176,0.424374007,0.422416841,0.245716171,0.246538178,0.248809332,0.249631338,0.247673755,0.245716171,0.246538178,0.248809332,0.249631338,0.247673755,0.183083878,0.21020573,0.285141779,0.312263632,0.247673755
1907,0.243854979,0.244667705,0.246913218,0.247725944,0.245790462,0.243854979,0.244667705,0.246913218,0.247725944,0.245790462,0.413747738,0.414560222,0.416805066,0.41761755,0.415682644,0.243854979,0.244667705,0.246913218,0.247725944,0.245790462,0.243854979,0.244667705,0.246913218,0.247725944,0.245790462,0.181741375,0.208636145,0.282944778,0.309839548,0.245790462
1908,0.249925091,0.250738525,0.252985993,0.253799426,0.251862259,0.249925091,0.250738525,0.252985993,0.253799426,0.251862259,0.408528057,0.409341217,0.411587931,0.412401091,0.410464574,0.249925091,0.250738525,0.252985993,0.253799426,0.251862259,0.249925091,0.250738525,0.252985993,0.253799426,0.251862259,0.187874632,0.214743594,0.288980923,0.315849886,0.251862259
1909,0.284163805,0.284972208,0.287205778,0.288014181,0.286088993,0.284163805,0.284972208,0.287205778,0.288014181,0.286088993,0.400469483,0.401277558,0.403510218,0.404318292,0.402393888,0.284163805,0.284972208,0.287205778,0.288014181,0.286088993,0.284163805,0.284972208,0.287205778,0.288014181,0.286088993,0.222498331,0.249200604,0.322977382,0.349679655,0.286088993
1910,0.288663692,0.289469764,0.291696892,0.292502964,0.290583328,0.288663692,0.289469764,0.291696892,0.292502964,0.290583328,0.381503385,0.382309098,0.384535234,0.385340947,0.383422166,0.288663692,0.289469764,0.291696892,0.292502964,0.290583328,0.288663692,0.289469764,0.291696892,0.292502964,0.290583328,0.227108124,0.253761915,0.327404741,0.354058532,0.290583328
1911,0.274208404,0.275014698,0.277242441,0.278048735,0.27612857,0.274208404,0.275014698,0.277242441,0.278048735,0.27612857,0.367447527,0.368253439,0.370480125,0.371286037,0.369366782,0.274208404,0.275014698,0.277242441,0.278048735,0.27612857,0.274208404,0.275014698,0.277242441,0.278048735,0.27612857,0.212685838,0.239325994,0.312931146,0.339571302,0.27612857
1912,0.244100733,0.244899098,0.247104934,0.247903299,0.246002016,0.244100733,0.244899098,0.247104934,0.247903299,0.246002016,0.363446812,0.364244916,0.366450027,0.36724813,0.365347471,0.244100733,0.244899098,0.247104934,0.247903299,0.246002016,0.244100733,0.244899098,0.247104934,0.247903299,0.246002016,0.183052444,0.209485518,0.282518514,0.308951588,0.246002016
1913,0.224970974,0.225767388,0.227967834,0.228764248,0.226867611,0.224970974,0.225767388,0.227967834,0.228764248,0.226867611,0.358052979,0.358849233,0.361049233,0.361845486,0.359949233,0.224970974,0.225767388,0.227967834,0.228764248,0.226867611,0.224970974,0.225767388,0.227967834,0.228764248,0.226867611,0.163986215,0.190390661,0.263344561,0.289749007,0.226867611
1914,0.242862973,0.243663312,0.245874601,0.24667494,0.244768956,0.242862973,0.243663312,0.245874601,0.24667494,0.244768956,0.3710044,0.371804537,0.374015266,0.374815402,0.372909901,0.242862973,0.243663312,0.245874601,0.24667494,0.244768956,0.242862973,0.243663312,0.245874601,0.24667494,0.244768956,0.181753003,0.208213951,0.281323961,0.307784909,0.244768956
1915,0.267888337,0.268692795,0.270915465,0.271719923,0.26980413,0.267888337,0.268692795,0.270915465,0.271719923,0.26980413,0.38997116,0.390775347,0.392997269,0.393801457,0.391886308,0.267888337,0.268692795,0.270915465,0.271719923,0.26980413,0.267888337,0.268692795,0.270915465,0.271719923,0.26980413,0.20648775,0.23307485,0.306533411,0.333120511,0.26980413
1916,0.284718563,0.285526779,0.287759829,0.288568045,0.286643304,0.284718563,0.285526779,0.287759829,0.288568045,0.286643304,0.393534974,0.394342868,0.39657503,0.397382923,0.395458949,0.284718563,0.285526779,0.287759829,0.288568045,0.286643304,0.284718563,0.285526779,0.287759829,0.288568045,0.286643304,0.222956941,0.2496994,0.323587208,0.350329667,0.286643304
1917,0.289215062,0.290030545,0.292283674,0.293099157,0.29115711,0.289215062,0.290030545,0.292283674,0.293099157,0.29115711,0.383431311,0.384246431,0.386498561,0.387313681,0.385372496,0.289215062,0.290030545,0.292283674,0.293099157,0.29115711,0.289215062,0.290030545,0.292283674,0.293099157,0.29115711,0.226880544,0.253870834,0.328443385,0.355433675,0.29115711
1918,0.311349732,0.312172312,0.314445052,0.315267633,0.313308682,0.311349732,0.312172312,0.314445052,0.315267633,0.313308682,0.373048714,0.373870909,0.376142584,0.376964779,0.375006747,0.311349732,0.312172312,0.314445052,0.315267633,0.313308682,0.311349732,0.312172312,0.314445052,0.315267633,0.313308682,0.248427113,0.275671449,0.350945915,0.378190251,0.313308682
1919,0.32289347,0.323718086,0.325996452,0.326821069,0.324857269,0.32289347,0.323718086,0.325996452,0.326821069,0.324857269,0.373312651,0.374136879,0.376414171,0.377238399,0.375275525,0.32289347,0.323718086,0.325996452,0.326821069,0.324857269,0.32289347,0.323718086,0.325996452,0.326821069,0.324857269,0.259726787,0.287075644,0.362638895,0.389987752,0.324857269
