yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
191909,275.227,34.7158,0.180319,0.0230865,0.00666442,0.0060555
191910,275.227,34.7155,0.180554,0.0231043,0.018737,0.0174806
191911,275.227,34.7153,0.180373,0.0231185,0.0289144,0.0303046
191912,275.229,34.7154,0.180361,0.0231097,0.00858039,0.00703839
192001,275.231,34.7155,0.180348,0.0231031,0.00978076,0.00687108
192002,275.231,34.7156,0.18034,0.0230986,0.0222341,0.0232579
192003,275.23,34.7159,0.180644,0.0231084,0.0200368,0.0143831
192004,275.228,34.7163,0.180559,0.0231029,0.0222963,0.0194222
192005,275.226,34.7166,0.180887,0.0231235,0.0188376,0.0192441
192006,275.225,34.7166,0.181279,0.0231411,0.0230886,0.0212494
192007,275.225,34.7164,0.180962,0.0231232,0.0176135,0.00996001
192008,275.226,34.7161,0.180775,0.0231095,0.0288526,0.0257589
192009,275.226,34.7157,0.180622,0.0231019,0.021988,0.0142409
192010,275.227,34.7155,0.180519,0.0230969,0.0121343,0.00945469
192011,275.227,34.7154,0.180449,0.0230936,0.0102133,0.00948685
192012,275.229,34.7154,0.180404,0.0230915,0.0115159,0.009297
192101,275.231,34.7155,0.180373,0.02309,0.0154441,0.012185
192102,275.231,34.7157,0.180361,0.0230895,0.0171112,0.0148414
192103,275.23,34.716,0.180351,0.0230892,0.0205441,0.0168716
192104,275.228,34.7164,0.180345,0.0230889,0.0209206,0.0148825
192105,275.226,34.7166,0.180341,0.0230889,0.0223926,0.0172055
192106,275.225,34.7166,0.180366,0.02309,0.0202522,0.0168182
192107,275.226,34.7165,0.180319,0.0230841,0.0149886,0.0125386
192108,275.226,34.7162,0.180319,0.0230853,0.0229001,0.0232178
192109,275.227,34.7158,0.180238,0.0230349,0.0221448,0.0216091
192110,275.228,34.7155,0.180304,0.0230724,0.0234606,0.0251004
192111,275.228,34.7152,0.180424,0.0230397,0.0243408,0.0294073
192112,275.229,34.7152,0.18044,0.0230547,0.00785609,0.0104053
192201,275.231,34.7152,0.180507,0.0230743,0.0169422,0.018011
192202,275.231,34.7153,0.180431,0.0231002,0.0260452,0.0278915
192203,275.23,34.7157,0.180741,0.0231069,0.0214175,0.0203138
192204,275.227,34.7161,0.181047,0.0231081,0.022196,0.0254012
192205,275.225,34.7163,0.182231,0.0231692,0.0302653,0.0301974
192206,275.225,34.7165,0.183007,0.023198,0.0348245,0.0313392
192207,275.225,34.7164,0.182153,0.0231613,0.0259967,0.0255456
192208,275.225,34.7161,0.181708,0.023134,0.0299953,0.029598
192209,275.226,34.7157,0.181285,0.0231179,0.0238769,0.0222081
192210,275.234,34.7154,0.180993,0.0230954,0.0433571,0.0459202
192211,275.234,34.7152,0.180859,0.0231028,0.0247755,0.0193754
192212,275.235,34.7153,0.180694,0.0231,0.0176397,0.0147474
192301,275.236,34.7154,0.180577,0.023097,0.0121243,0.0125492
192302,275.236,34.7155,0.180494,0.0230944,0.0222597,0.020687
192303,275.235,34.716,0.180429,0.0230771,0.0335397,0.0356976
192304,275.232,34.7163,0.180911,0.0231081,0.0515359,0.0499119
192305,275.23,34.7166,0.180952,0.0231134,0.043489,0.0430984
192306,275.229,34.7166,0.180947,0.0231198,0.0486465,0.0531164
192307,275.229,34.7165,0.180807,0.0230932,0.046813,0.045832
192308,275.229,34.7162,0.180682,0.0230714,0.0495792,0.0469426
192309,275.229,34.7158,0.180579,0.0230778,0.0300591,0.0324537
192310,275.229,34.7155,0.180984,0.0231101,0.0233369,0.0251184
192311,275.229,34.7154,0.180764,0.0230917,0.0249748,0.0232046
192312,275.232,34.715,0.180754,0.0230953,0.0515741,0.0509526
192401,275.234,34.7151,0.180753,0.0231004,0.0372288,0.0378488
