variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1901,0.0197705488031108,0.0278579360867539,0.0513498112559318,0.0608918768043318,0.0393980213751395,0.0116980224847792,0.0285389866183201,0.0563137945284445,0.0623606742670138,0.0452664730449517,-0.006607851673228,0.01769765742744,0.0865779175609349,0.1132445416102806,0.0511772738148768
1902,0.0132272645986328,0.0189942975156008,0.0385600429897506,0.0466233569507796,0.0283674622575441,0.0128698458429425,0.0300226024103661,0.0588865901033083,0.0652676374961932,0.0473015954097111,-0.0144001006614416,0.0096664799004792,0.0771121858805417,0.1031764263908068,0.0423779052992661
1903,-0.0497781037663419,-0.0352791527161995,-0.0106776951160281,-0.0061300948572655,-0.0203961866597333,0.0140572602084527,0.0314612497203051,0.0614442765340209,0.0681817339112361,0.0492840961863596,-0.0689563738803068,-0.0425465040902296,0.0289495916540423,0.0554000845799843,-0.0073606560472398
1904,-0.0984230340768893,-0.0804767542580763,-0.0396698528900742,-0.0272944500669836,-0.0585752123345931,0.0143620101114113,0.0323478429329891,0.0638295923297603,0.0710124947130679,0.0509500633925199,-0.1115969528754551,-0.0826565217971801,-0.0022071204629416,0.0269157789958019,-0.0423562265932559
1905,-0.0618265983959038,-0.0518642777825394,-0.026511843415598,-0.018278616045912,-0.0388306193053722,0.0139994195041556,0.0328252780002851,0.0661117608348528,0.0738170297195513,0.0523983991394439,-0.0827673241496085,-0.0564324829106528,0.0163130361431588,0.0430263360962271,-0.0204189832632739
1906,-0.0197953992833693,-0.0145783712156116,-0.0012318612573046,0.0008907616516807,-0.0072626750916242,0.0136368869648625,0.0332946428470313,0.0684620290994643,0.0767138231545686,0.0538706853985785,-0.0456305324410398,-0.0208632064486543,0.0464872003967562,0.0719556002567211,0.0121034765616058
1907,-0.0049033893505111,-0.0012221573072019,0.0108275603471944,0.0164496236480772,0.0037952967298526,0.0121090242173522,0.032854510564357,0.070481362864375,0.0794591359794139,0.0547357487181822,-0.0309213761550684,-0.0067782596653947,0.05918913397938,0.0842468130091826,0.0254405907665689
1908,9.267222233877368e-05,0.0029702455612519,0.0157019396219402,0.0226211252622306,0.0081126168370245,0.0111753526764611,0.0330410492047667,0.0729651157309611,0.0826034922152757,0.0561790664990742,-0.0244444385791817,-0.0004628603028444,0.064969092234969,0.0897801248977581,0.0315074163178602
1909,0.0091531291604041,0.0134182723425328,0.0296265699279804,0.0377679147447148,0.0205467951794465,0.012375424367686,0.034921235491832,0.0762608378380536,0.0863233262052138,0.0588251569618781,-0.0093059535371139,0.0144704040170956,0.0798313146332899,0.1047204863280057,0.0464087724685668
1910,0.0146351573057472,0.0207707791837552,0.0404072323317328,0.049559109037121,0.0299166133627294,0.0127855402883141,0.0361481488868593,0.0792756660282611,0.0898822377125421,0.0610043810059626,0.0016581434290856,0.0254974570932487,0.0911989497890074,0.11614339115719,0.0576920254776874
1911,0.0171912242037554,0.0242451277188956,0.0456847089032331,0.0554026801139116,0.0344525687396526,0.0140085853791485,0.0380052174876133,0.0826259905348221,0.093704392760992,0.0636415518820285,0.00845512355833,0.0324161682588358,0.0982795357704162,0.1231944169849156,0.0647589055200417
1912,-0.0045080825531234,0.0005674154877972,0.0159176669828593,0.0229475952995319,0.006438119492183,0.0169413186764965,0.0411194219191868,0.0865619712571302,0.097953521211942,0.0671290817360082,-0.0150503332416216,0.0090356098022311,0.0737964544196922,0.0980962769438822,0.0408712141215801
1913,-0.0575039864207306,-0.0446656305094559,-0.0166068536415695,-0.0102658417231092,-0.0287199253216385,0.0187258455902337,0.0434249519308407,0.0902268443753321,0.1020612645894288,0.070127951602141,-0.055502068872253,-0.0293886388589938,0.0413098515694339,0.0666419810305039,0.0058897299071152
1914,-0.0516423922652998,-0.0421406444658835,-0.0184356754397352,-0.011974988101671,-0.0293449765692154,0.0212528490150967,0.046520034049948,0.0943844446788231,0.1065378714352845,0.0738103973368803,-0.0506351970757046,-0.0247822104021906,0.0448264448965588,0.0698321018368005,0.0099005949062605
1915,-0.017221831002583,-0.0120525137179841,-0.0006000724925251,0.0032067690549107,-0.0057758426604171,0.0261133176895479,0.0515813413262366,0.0995598911494015,0.1117272208134333,0.078976468493541,-0.0183683333142349,0.0063572396361268,0.0721269063899913,0.0962900056193272,0.0389396424094835
1916,0.0062262631797541,0.0100782952333489,0.0257744207729894,0.0331260006253917,0.0169670414179563,0.0303211818449198,0.0558878621955712,0.1043172727028528,0.1166637768348057,0.0834869891405105,0.0115896494748691,0.0355519871413707,0.1004338976740836,0.1247222427278756,0.0675043426454067
1917,0.0162460148955384,0.023279268083473,0.0465612214927871,0.0571756726751724,0.0340886631359656,0.0325909611458579,0.0586512550090749,0.108390188490351,0.1211753716071446,0.0869114187856514,0.0318398851280411,0.0556629666065176,0.1212329686929781,0.1457373303671677,0.0879224228362242
1918,0.0224683686469991,0.0319575747971733,0.0612933505450685,0.074303771307071,0.0459103894730408,0.0350916679948567,0.0617401380340257,0.1126973993579546,0.125853981077671,0.0906578786671161,0.0464227126911282,0.0705067117512225,0.1372371225059032,0.16199977795283,0.1034271977841853
1919,0.0259436560173829,0.0367705080906549,0.0693714718023935,0.0835975144058465,0.0524441022425889,0.0418118977298338,0.0682906355212132,0.1186917974799871,0.1316976452867189,0.0969333127140998,0.0588126127918561,0.0829713832835356,0.150171765089035,0.1750975059966246,0.1162059803803761
1920,0.0271103094021478,0.0382951222732662,0.0715750410407781,0.0858847079177696,0.0543838969121376,0.0486131265138586,0.0748709199825922,0.1246558365970849,0.1375029241045316,0.1031950699786344,0.0672326818108558,0.0912862531592448,0.1580778468151886,0.1829120670755704,0.1243775983651478
1921,0.0271892556610206,0.0383241333812474,0.0714379437516132,0.0854154482483863,0.0543625062952438,0.0559150706976651,0.0818857173870006,0.1309069097042083,0.1435244632263977,0.1098232517639795,0.0743205408255258,0.0981607714047034,0.1642983423670132,0.1889996940890948,0.1309420888622601
1922,0.0226668666737774,0.0320242863707244,0.0620156456281741,0.074668693418304,0.0463372562080621,0.0650965602447588,0.0904060092816749,0.1380071590344111,0.1502017490565776,0.1175818443298339,0.0759353708475827,0.0990689416974782,0.1633047809203465,0.1875324403246243,0.1308019359906514
1923,0.0176777609003086,0.0253825055186946,0.0523244484141468,0.0636426543196042,0.038168820242087,0.0687979105859994,0.0946040807167688,0.1428069778780142,0.1550947576761245,0.1221856052676836,0.0730893647919097,0.0959738128383954,0.1591933667659759,0.1830328273276488,0.127179021636645
1924,0.0202366090379655,0.0285660117367902,0.0558509830882151,0.0675586191316445,0.0414431852598984,0.0707205676784117,0.097423103104035,0.1468619116644064,0.1594147237638632,0.1257735888163248,0.0792332608252763,0.1024056631326674,0.1661894379556178,0.1901006353398164,0.1339821467796961
1925,0.0241232785085836,0.0339432747662067,0.0639299162725607,0.0767483763396739,0.0483065185447533,0.0742005414019028,0.1012091172734895,0.1512122411032517,0.1638844261566797,0.1298853829503059,0.089330881461501,0.1127344887206951,0.1774088053405284,0.2015685739616553,0.1448158919811248
1926,0.0273668399701515,0.0385203168913721,0.0717457313587267,0.0858335085213184,0.054588588575522,0.0770865067839622,0.1042876185476779,0.1548314193884531,0.1676475256681441,0.1332446013887723,0.0982599721600611,0.1218468294292688,0.1873590557277202,0.2117367786665757,0.1543974007169405
1927,0.0305948814998069,0.0431100846081972,0.0801124432186285,0.0957418413211901,0.0610760394483804,0.0787143869946399,0.1060914140443006,0.1574690441290537,0.1705816636482874,0.135440652569135,0.1061524515350659,0.1299921762446562,0.1965980844696362,0.2211900755763053,0.1631314208110172
1928,0.0316378545636931,0.0446159696703155,0.0836703115204969,0.1002539006372292,0.0634797488649685,0.0801644670466581,0.107638579259316,0.1598158826430638,0.1732776773472627,0.1373208612203598,0.110357837875684,0.1342580847938854,0.2012970712780951,0.2259050813814004,0.1676171372334162
1929,0.0249155216850339,0.0355757145707805,0.0712700105706849,0.0867179681857426,0.0524810850620269,0.0814103554934263,0.1088256603479385,0.1617847780386606,0.1756819538772105,0.1387665222088495,0.1030734973649183,0.1262936956187089,0.1911888122558593,0.2151657295723756,0.1584999163945516
